name,site,title,type,belong,nature,website
内蒙古大学,内蒙古,211,综合,内蒙古自治区教育厅,本科,zhaosheng.imu.edu.cn
辽宁大学,辽宁,211,综合,辽宁省教育厅,本科,http://www.lnu.edu.cn
大连海事大学,辽宁,211,工科,交通运输部,本科,http://www.dlmu.edu.cn
延边大学,吉林,211,综合,吉林省教育厅,本科,http://zsb.ybu.edu.cn
东北师范大学,吉林,211,师范,教育部,本科,http://www.nenu.edu.cn/
哈尔滨工程大学,黑龙江,211,工科,工业与信息化部,本科,http://www.hrbeu.edu.cn
东北林业大学,黑龙江,211,林业,教育部,本科,http://www.nefu.edu.cn
华东理工大学,上海,211,工科,教育部,本科,http://www.ecust.edu.cn/
东华大学,上海,211,工科,教育部,本科,http://www.dhu.edu.cn
上海中医药大学,上海,——,医药,上海市教育委员会,本科,www.shutcm.com
上海外国语大学,上海,211,语言,教育部,本科,http://www.shisu.edu.cn
上海财经大学,上海,211,财经,教育部,本科,http://www.shufe.edu.cn/structure/index.html
苏州大学,江苏,211,综合,江苏省教育厅,本科,http://www.suda.edu.cn
南京航空航天大学,江苏,211,工科,工业与信息化部,本科,http://www.nuaa.edu.cn
南京理工大学,江苏,211,工科,工业与信息化部,本科,http://www.njust.edu.cn/
河海大学,江苏,211,工科,教育部,本科,www.hhu.edu.cn
江南大学,江苏,211,综合,教育部,本科,www.jiangnan.edu.cn
南京农业大学,江苏,211,农业,教育部,本科,www.njau.edu.cn
中国药科大学,江苏,211,医药,教育部,本科,www.cpu.edu.cn
南京师范大学,江苏,211,师范,江苏省教育厅,本科,www.njnu.edu.cn
安徽大学,安徽,211,综合,安徽省教育厅,本科,www.ahu.edu.cn
合肥工业大学,安徽,211,工科,教育部,本科,www.hfut.edu.cn/ch/
福州大学,福建,211,工科,福建省教育厅,本科,www.fzu.edu.cn
郑州大学,河南,211,综合,河南省教育厅,本科,www.zzu.edu.cn
华中农业大学,湖北,211,农业,教育部,本科,www.hzau.edu.cn
华中师范大学,湖北,211,师范,教育部,本科,www.ccnu.edu.cn
湖南师范大学,湖南,211,师范,湖南省教育厅,本科,www.hunnu.edu.cn
暨南大学,广东,211,综合,国务院侨务办公室,本科,www.jnu.edu.cn
华南农业大学,广东,——,农业,广东省教育厅,本科,——
广州中医药大学,广东,——,医药,广东省教育厅,本科,www.gzucm.edu.cn
华南师范大学,广东,211,师范,广东省教育厅,本科,www.scnu.edu.cn
海南大学,海南,211,综合,海南省教育厅,本科,www.hainu.edu.cn
广西大学,广西,211,综合,广西壮族自治区教育厅,本科,www.gxu.edu.cn
西南交通大学,四川,211,工科,教育部,本科,www.swjtu.edu.cn
四川农业大学,四川,211,农业,四川省教育厅,本科,www.sicau.edu.cn
西南大学,重庆,211,师范,教育部,本科,www.swnu.edu.cn
西南财经大学,四川,211,财经,教育部,本科,www.swufe.edu.cn
贵州大学,贵州,211,综合,贵州省教育厅,本科,www.gzu.edu.cn/
云南大学,云南,211,综合,云南省教育厅,本科,www.ynu.edu.cn/
西藏大学,西藏,211,综合,西藏自治区教育厅,本科,www.utibet.edu.cn
西北大学,陕西,211,综合,陕西省教育厅,本科,www.nwu.edu.cn
西安电子科技大学,陕西,211,工科,教育部,本科,http://www.xidian.edu.cn
陕西师范大学,陕西,211,师范,教育部,本科,www.snnu.edu.cn
青海大学,青海,211,综合,青海省教育厅,本科,www.qhu.edu.cn
宁夏大学,宁夏,211,综合,宁夏回族自治区教育厅,本科,www.nxu.edu.cn
新疆大学,新疆,211,综合,新疆维吾尔自治区教育厅,本科,www.xju.edu.cn
石河子大学,新疆,211,综合,新疆生产建设兵团,本科,www.shzu.edu.cn
中国矿业大学(北京),北京,211,工科,——,本科,www.cumtb.edu.cn
中国地质大学(北京),北京,211,工科,——,本科,www.cugb.edu.cn
南昌大学,江西,211,综合,江西省教育厅,本科,www.ncu.edu.cn
上海大学,上海,211,综合,上海市教育委员会,本科,http://www.shu.edu.cn
天津医科大学,天津,211,医药,天津市教育委员会,本科,www.tijmu.edu.cn
长安大学,陕西,211,工科,教育部,本科,www.chd.edu.cn
中南财经政法大学,湖北,211,财经,教育部,本科,www.znufe.edu.cn
武汉理工大学,湖北,211,工科,教育部,本科,www.whut.edu.cn
东北农业大学,黑龙江,211,农业,黑龙江省教育厅,本科,http://www.neau.edu.cn
中国人民解放军国防科学技术大学,湖南,211985,军事,中国人民解放军总政治部,本科,http://www.nudt.edu.cn
中国人民解放军第二军医大学,上海,211,军事,中国人民解放军总政治部,本科,http://www.smmu.edu.cn
第四军医大学,陕西,211,军事,中国人民解放军总政治部,其它,http://www.fmmu.edu.cn/index.htm
上海交通大学医学院,上海,211985,医药,教育部,本科,http://www.bjtu.edu.cn
中国传媒大学,北京,211,语言,教育部,本科,www.cuc.edu.cn
中国地质大学(武汉),湖北,211,工科,——,本科,www.cug.edu.cn
中国石油大学(北京),北京,211,工科,——,本科,www.cup.edu.cn
中国石油大学(华东),山东,211,工科,——,本科,www.upc.edu.cn
北方工业大学,北京,——,工科,北京市教育委员会,本科,www.ncut.edu.cn
河海大学,江苏,211,工科,教育部,本科,www.hhu.edu.cn
江南大学,江苏,211,综合,教育部,本科,www.jiangnan.edu.cn
南京农业大学,江苏,211,农业,教育部,本科,www.njau.edu.cn
中国药科大学,江苏,211,医药,教育部,本科,www.cpu.edu.cn
南京师范大学,江苏,211,师范,江苏省教育厅,本科,www.njnu.edu.cn
安徽大学,安徽,211,综合,安徽省教育厅,本科,www.ahu.edu.cn
合肥工业大学,安徽,211,工科,教育部,本科,www.hfut.edu.cn/ch/
福州大学,福建,211,工科,福建省教育厅,本科,www.fzu.edu.cn
郑州大学,河南,211,综合,河南省教育厅,本科,www.zzu.edu.cn
华中农业大学,湖北,211,农业,教育部,本科,www.hzau.edu.cn
华中师范大学,湖北,211,师范,教育部,本科,www.ccnu.edu.cn
湖南师范大学,湖南,211,师范,湖南省教育厅,本科,www.hunnu.edu.cn
暨南大学,广东,211,综合,国务院侨务办公室,本科,www.jnu.edu.cn
华南农业大学,广东,——,农业,广东省教育厅,本科,——
广州中医药大学,广东,——,医药,广东省教育厅,本科,www.gzucm.edu.cn
华南师范大学,广东,211,师范,广东省教育厅,本科,www.scnu.edu.cn
海南大学,海南,211,综合,海南省教育厅,本科,www.hainu.edu.cn
广西大学,广西,211,综合,广西壮族自治区教育厅,本科,www.gxu.edu.cn
西南交通大学,四川,211,工科,教育部,本科,www.swjtu.edu.cn
四川农业大学,四川,211,农业,四川省教育厅,本科,www.sicau.edu.cn
西南大学,重庆,211,师范,教育部,本科,www.swnu.edu.cn
西南财经大学,四川,211,财经,教育部,本科,www.swufe.edu.cn
贵州大学,贵州,211,综合,贵州省教育厅,本科,www.gzu.edu.cn/
云南大学,云南,211,综合,云南省教育厅,本科,www.ynu.edu.cn/
西藏大学,西藏,211,综合,西藏自治区教育厅,本科,www.utibet.edu.cn
西北大学,陕西,211,综合,陕西省教育厅,本科,www.nwu.edu.cn
西安电子科技大学,陕西,211,工科,教育部,本科,http://www.xidian.edu.cn
陕西师范大学,陕西,211,师范,教育部,本科,www.snnu.edu.cn
青海大学,青海,211,综合,青海省教育厅,本科,www.qhu.edu.cn
宁夏大学,宁夏,211,综合,宁夏回族自治区教育厅,本科,www.nxu.edu.cn
新疆大学,新疆,211,综合,新疆维吾尔自治区教育厅,本科,www.xju.edu.cn
石河子大学,新疆,211,综合,新疆生产建设兵团,本科,www.shzu.edu.cn
中国矿业大学(北京),北京,211,工科,——,本科,www.cumtb.edu.cn
中国地质大学(北京),北京,211,工科,——,本科,www.cugb.edu.cn
南昌大学,江西,211,综合,江西省教育厅,本科,www.ncu.edu.cn
上海大学,上海,211,综合,上海市教育委员会,本科,http://www.shu.edu.cn
天津医科大学,天津,211,医药,天津市教育委员会,本科,www.tijmu.edu.cn
长安大学,陕西,211,工科,教育部,本科,www.chd.edu.cn
中南财经政法大学,湖北,211,财经,教育部,本科,www.znufe.edu.cn
武汉理工大学,湖北,211,工科,教育部,本科,www.whut.edu.cn
东北农业大学,黑龙江,211,农业,黑龙江省教育厅,本科,http://www.neau.edu.cn
中国人民解放军国防科学技术大学,湖南,211985,军事,中国人民解放军总政治部,本科,http://www.nudt.edu.cn
中国人民解放军第二军医大学,上海,211,军事,中国人民解放军总政治部,本科,http://www.smmu.edu.cn
第四军医大学,陕西,211,军事,中国人民解放军总政治部,其它,http://www.fmmu.edu.cn/index.htm
上海交通大学医学院,上海,211985,医药,教育部,本科,http://www.bjtu.edu.cn
中国传媒大学,北京,211,语言,教育部,本科,www.cuc.edu.cn
中国地质大学(武汉),湖北,211,工科,——,本科,www.cug.edu.cn
中国石油大学(北京),北京,211,工科,——,本科,www.cup.edu.cn
中国石油大学(华东),山东,211,工科,——,本科,www.upc.edu.cn
北方工业大学,北京,——,工科,北京市教育委员会,本科,www.ncut.edu.cn
北京服装学院,北京,——,工科,北京市教育委员会,本科,http://www.bift.edu.cn/
北京印刷学院,北京,——,工科,北京市教育委员会,本科,www.bigc.edu.cn
北京建筑大学,北京,——,工科,北京市教育委员会,本科,http://www.bucea.edu.cn
北京石油化工学院,北京,——,工科,北京市教育委员会,本科,http://www.bipt.edu.cn
北京电子科技学院,北京,——,工科,中央办公厅,本科,www.besti.edu.cn
北京农学院,北京,——,农业,北京市教育委员会,本科,http://www.bua.edu.cn
首都医科大学,北京,——,医药,北京市教育委员会,本科,http://www.ccmu.edu.cn
首都师范大学,北京,211,师范,北京市教育委员会,本科,www.cnu.edu.cn
首都体育学院,北京,——,体育,北京市教育委员会,本科,www.cipe.edu.cn
北京第二外国语学院,北京,——,语言,北京市教育委员会,本科,www.bisu.edu.cn
北京语言大学,北京,——,语言,教育部,本科,www.blcu.edu.cn
北京物资学院,北京,——,财经,北京市教育委员会,本科,http://www.bwu.edu.cn
外交学院,北京,——,语言,外交部,本科,www.cfau.edu.cn
中国人民公安大学,北京,——,政法,公安部,本科,www.ppsuc.edu.cn
国际关系学院,北京,——,政法,教育部,本科,http://www.uir.cn
中国音乐学院,北京,——,艺术,北京市教育委员会,本科,www.ccmusic.edu.cn
中央美术学院,北京,——,艺术,教育部,本科,www.cafa.edu.cn
中央戏剧学院,北京,——,艺术,教育部,本科,www.zhongxi.cn
中国戏曲学院,北京,——,艺术,北京市教育委员会,本科,www.nacta.edu.cn
北京电影学院,北京,——,艺术,北京市教育委员会,本科,http://www.bfa.edu.cn
北京舞蹈学院,北京,——,艺术,北京市教育委员会,本科,www.bda.edu.cn
天津科技大学,天津,——,工科,天津市教育委员会,本科,www.tust.edu.cn
天津工业大学,天津,——,工科,天津市教育委员会,本科,www.tjpu.edu.cn
中国民航大学,天津,——,工科,中国民用航空总局,本科,www.cauc.edu.cn
天津理工大学,天津,——,工科,天津市教育委员会,本科,http://www.tjut.edu.cn/
天津农学院,天津,——,农业,天津市教育委员会,本科,www.tjau.edu.cn
天津中医药大学,天津,——,医药,天津市教育委员会,本科,www.tjutcm.edu.cn
天津师范大学,天津,——,师范,天津市教育委员会,本科,www.tjnu.edu.cn
天津外国语学院,天津,——,语言,——,本科,http://zsb.tjfsu.edu.cn
天津商业大学,天津,——,财经,天津市教育委员会,本科,http://zs.tjcu.edu.cn
天津体育学院,天津,——,体育,天津市教育委员会,本科,www.tjipe.edu.cn
天津音乐学院,天津,——,艺术,天津市教育委员会,本科,www.tjcm.edu.cn
天津美术学院,天津,——,艺术,天津市教育委员会,本科,www.tjarts.edu.cn
河北大学,河北,——,综合,河北省教育厅,本科,www.hbu.edu.cn
石家庄经济学院,河北,——,财经,河北省教育厅,本科,www.sjzue.edu.cn
河北科技大学,河北,——,工科,河北省教育厅,本科,www.hebust.edu.cn
河北建筑工程学院,河北,——,工科,河北省教育厅,本科,www.hebiace.edu.cn
华北煤炭医学院,河北,——,医药,——,本科,www.heuu.edu.cn
承德医学院,河北,——,医药,河北省教育厅,本科,http://www.cdmc.edu.cn
河北师范大学,河北,——,师范,河北省教育厅,本科,www.hebtu.edu.cn
唐山师范学院,河北,——,师范,河北省教育厅,本科,www.tstc.edu.cn
廊坊师范学院,河北,——,师范,河北省教育厅,本科,http://www.lfsfxy.edu.cn
邢台学院,河北,——,师范,河北省教育厅,本科,——
石家庄铁道学院,河北,——,工科,——,本科,www.hsvtc.cn
山西大学,山西,——,综合,山西省教育厅,本科,www.sxu.edu.cn
山西农业大学,山西,——,农业,山西省教育厅,本科,www.sxau.edu.cn
山西医科大学,山西,——,医药,山西省教育厅,本科,www.sxmu.edu.cn
长治医学院,山西,——,医药,山西省教育厅,本科,www.czmc.com
山西师范大学,山西,——,师范,山西省教育厅,本科,www.sxnu.edu.cn
太原师范学院,山西,——,师范,山西省教育厅,本科,www.tynu.edu.cn
西北大学,陕西,211,综合,陕西省教育厅,本科,www.nwu.edu.cn
西安电子科技大学,陕西,211,工科,教育部,本科,http://www.xidian.edu.cn
陕西师范大学,陕西,211,师范,教育部,本科,www.snnu.edu.cn
青海大学,青海,211,综合,青海省教育厅,本科,www.qhu.edu.cn
宁夏大学,宁夏,211,综合,宁夏回族自治区教育厅,本科,www.nxu.edu.cn
新疆大学,新疆,211,综合,新疆维吾尔自治区教育厅,本科,www.xju.edu.cn
石河子大学,新疆,211,综合,新疆生产建设兵团,本科,www.shzu.edu.cn
中国矿业大学(北京),北京,211,工科,——,本科,www.cumtb.edu.cn
中国地质大学(北京),北京,211,工科,——,本科,www.cugb.edu.cn
南昌大学,江西,211,综合,江西省教育厅,本科,www.ncu.edu.cn
上海大学,上海,211,综合,上海市教育委员会,本科,http://www.shu.edu.cn
天津医科大学,天津,211,医药,天津市教育委员会,本科,www.tijmu.edu.cn
长安大学,陕西,211,工科,教育部,本科,www.chd.edu.cn
中南财经政法大学,湖北,211,财经,教育部,本科,www.znufe.edu.cn
武汉理工大学,湖北,211,工科,教育部,本科,www.whut.edu.cn
东北农业大学,黑龙江,211,农业,黑龙江省教育厅,本科,http://www.neau.edu.cn
中国人民解放军国防科学技术大学,湖南,211985,军事,中国人民解放军总政治部,本科,http://www.nudt.edu.cn
中国人民解放军第二军医大学,上海,211,军事,中国人民解放军总政治部,本科,http://www.smmu.edu.cn
第四军医大学,陕西,211,军事,中国人民解放军总政治部,其它,http://www.fmmu.edu.cn/index.htm
上海交通大学医学院,上海,211985,医药,教育部,本科,http://www.bjtu.edu.cn
中国传媒大学,北京,211,语言,教育部,本科,www.cuc.edu.cn
中国地质大学(武汉),湖北,211,工科,——,本科,www.cug.edu.cn
中国石油大学(北京),北京,211,工科,——,本科,www.cup.edu.cn
中国石油大学(华东),山东,211,工科,——,本科,www.upc.edu.cn
北方工业大学,北京,——,工科,北京市教育委员会,本科,www.ncut.edu.cn
北京服装学院,北京,——,工科,北京市教育委员会,本科,http://www.bift.edu.cn/
北京印刷学院,北京,——,工科,北京市教育委员会,本科,www.bigc.edu.cn
北京建筑大学,北京,——,工科,北京市教育委员会,本科,http://www.bucea.edu.cn
北京石油化工学院,北京,——,工科,北京市教育委员会,本科,http://www.bipt.edu.cn
北京电子科技学院,北京,——,工科,中央办公厅,本科,www.besti.edu.cn
北京农学院,北京,——,农业,北京市教育委员会,本科,http://www.bua.edu.cn
首都医科大学,北京,——,医药,北京市教育委员会,本科,http://www.ccmu.edu.cn
首都师范大学,北京,211,师范,北京市教育委员会,本科,www.cnu.edu.cn
首都体育学院,北京,——,体育,北京市教育委员会,本科,www.cipe.edu.cn
北京第二外国语学院,北京,——,语言,北京市教育委员会,本科,www.bisu.edu.cn
北京语言大学,北京,——,语言,教育部,本科,www.blcu.edu.cn
北京物资学院,北京,——,财经,北京市教育委员会,本科,http://www.bwu.edu.cn
外交学院,北京,——,语言,外交部,本科,www.cfau.edu.cn
中国人民公安大学,北京,——,政法,公安部,本科,www.ppsuc.edu.cn
国际关系学院,北京,——,政法,教育部,本科,http://www.uir.cn
中国音乐学院,北京,——,艺术,北京市教育委员会,本科,www.ccmusic.edu.cn
中央美术学院,北京,——,艺术,教育部,本科,www.cafa.edu.cn
中央戏剧学院,北京,——,艺术,教育部,本科,www.zhongxi.cn
中国戏曲学院,北京,——,艺术,北京市教育委员会,本科,www.nacta.edu.cn
北京电影学院,北京,——,艺术,北京市教育委员会,本科,http://www.bfa.edu.cn
北京舞蹈学院,北京,——,艺术,北京市教育委员会,本科,www.bda.edu.cn
天津科技大学,天津,——,工科,天津市教育委员会,本科,www.tust.edu.cn
天津工业大学,天津,——,工科,天津市教育委员会,本科,www.tjpu.edu.cn
中国民航大学,天津,——,工科,中国民用航空总局,本科,www.cauc.edu.cn
天津理工大学,天津,——,工科,天津市教育委员会,本科,http://www.tjut.edu.cn/
天津农学院,天津,——,农业,天津市教育委员会,本科,www.tjau.edu.cn
天津中医药大学,天津,——,医药,天津市教育委员会,本科,www.tjutcm.edu.cn
天津师范大学,天津,——,师范,天津市教育委员会,本科,www.tjnu.edu.cn
天津外国语学院,天津,——,语言,——,本科,http://zsb.tjfsu.edu.cn
天津商业大学,天津,——,财经,天津市教育委员会,本科,http://zs.tjcu.edu.cn
天津体育学院,天津,——,体育,天津市教育委员会,本科,www.tjipe.edu.cn
天津音乐学院,天津,——,艺术,天津市教育委员会,本科,www.tjcm.edu.cn
天津美术学院,天津,——,艺术,天津市教育委员会,本科,www.tjarts.edu.cn
河北大学,河北,——,综合,河北省教育厅,本科,www.hbu.edu.cn
石家庄经济学院,河北,——,财经,河北省教育厅,本科,www.sjzue.edu.cn
河北科技大学,河北,——,工科,河北省教育厅,本科,www.hebust.edu.cn
河北建筑工程学院,河北,——,工科,河北省教育厅,本科,www.hebiace.edu.cn
华北煤炭医学院,河北,——,医药,——,本科,www.heuu.edu.cn
承德医学院,河北,——,医药,河北省教育厅,本科,http://www.cdmc.edu.cn
河北师范大学,河北,——,师范,河北省教育厅,本科,www.hebtu.edu.cn
唐山师范学院,河北,——,师范,河北省教育厅,本科,www.tstc.edu.cn
廊坊师范学院,河北,——,师范,河北省教育厅,本科,http://www.lfsfxy.edu.cn
邢台学院,河北,——,师范,河北省教育厅,本科,——
石家庄铁道学院,河北,——,工科,——,本科,www.hsvtc.cn
山西大学,山西,——,综合,山西省教育厅,本科,www.sxu.edu.cn
山西农业大学,山西,——,农业,山西省教育厅,本科,www.sxau.edu.cn
山西医科大学,山西,——,医药,山西省教育厅,本科,www.sxmu.edu.cn
长治医学院,山西,——,医药,山西省教育厅,本科,www.czmc.com
山西师范大学,山西,——,师范,山西省教育厅,本科,www.sxnu.edu.cn
太原师范学院,山西,——,师范,山西省教育厅,本科,www.tynu.edu.cn
晋中学院,山西,——,师范,山西省教育厅,本科,www.sxjztc.edu.cn
运城学院,山西,——,师范,山西省教育厅,本科,www.ycu.edu.cn
忻州师范学院,山西,——,师范,山西省教育厅,本科,www.xztc.edu.cn
山西财经大学,山西,——,财经,山西省教育厅,本科,http://www.sxufe.edu.cn
内蒙古工业大学,内蒙古,——,工科,内蒙古自治区教育厅,本科,www.imut.edu.cn
内蒙古医科大学,内蒙古,——,医药,内蒙古自治区教育厅,本科,www.immu.edu.cn
包头医学院,内蒙古,——,医药,——,其它,http://www.btmc.cn/
内蒙古师范大学,内蒙古,——,师范,内蒙古自治区教育厅,本科,www.imnu.edu.cn
内蒙古财经学院,内蒙古,——,财经,内蒙古自治区教育厅,本科,www.imfec.edu.cn
沈阳工业大学,辽宁,——,工科,辽宁省教育厅,本科,www.sut.edu.cn
沈阳航空工业学院,辽宁,——,工科,——,本科,http://www.sau.edu.cn
辽宁科技大学,辽宁,——,工科,辽宁省教育厅,本科,www.ustl.edu.cn
辽宁工程技术大学,辽宁,——,工科,辽宁省教育厅,本科,www.lntu.edu.cn
辽宁石油化工大学,辽宁,——,工科,辽宁省教育厅,本科,www.lnpu.edu.cn
沈阳化工学院,辽宁,——,工科,——,本科,www.syuct.edu.cn
大连工业大学,辽宁,——,工科,辽宁省教育厅,本科,www.dlpu.edu.cn
辽宁工业大学,辽宁,——,工科,辽宁省教育厅,本科,http://www.lnut.edu.cn/
沈阳农业大学,辽宁,——,农业,辽宁省教育厅,本科,http://www.syau.edu.cn
大连水产学院,辽宁,——,农业,——,本科,http://www.dlou.edu.cn
中国医科大学,辽宁,——,医药,辽宁省教育厅,本科,www.cmu.edu.cn
辽宁医学院,辽宁,——,医药,辽宁省教育厅,本科,www.jzmu.edu.cn
大连医科大学,辽宁,——,医药,辽宁省教育厅,本科,www.dlmedu.edu.cn
辽宁中医药大学,辽宁,——,医药,辽宁省教育厅,本科,www.lnutcm.edu.cn
沈阳药科大学,辽宁,——,医药,辽宁省教育厅,本科,www.syphu.edu.cn
沈阳医学院,辽宁,——,医药,辽宁省教育厅,本科,www.symc.edu.cn
辽宁师范大学,辽宁,——,师范,辽宁省教育厅,本科,www.lnnu.edu.cn
沈阳师范大学,辽宁,——,师范,辽宁省教育厅,本科,www.synu.edu.cn
鞍山师范学院,辽宁,——,师范,辽宁省教育厅,本科,www.asnc.edu.cn
大连外国语大学,辽宁,——,语言,辽宁省教育厅,本科,www.dlufl.edu.cn
东北财经大学,辽宁,——,财经,辽宁省教育厅,本科,http://www.dufe.edu.cn
中国刑事警察学院,辽宁,——,政法,公安部,本科,www.ccpc.edu.cn
沈阳体育学院,辽宁,——,体育,辽宁省教育厅,本科,www.syty.edu.cn
沈阳音乐学院,辽宁,——,艺术,辽宁省教育厅,本科,www.sycm.com.cn
鲁迅美术学院,辽宁,——,艺术,辽宁省教育厅,本科,www.lumei.edu.cn
