,mayili_comment
2443,没了“陈俊生”我们的“罗子君”依然是好好的，祝愿你遇到彼此相爱的“贺涵” 
2444,不知道来看过多少次你俩的微博了。还是不愿相信 
2445,哦 
2446,因为爱太痛了 
2447,抱抱 
2448,回复@赵天天:@木子吖7L 秀了 
2449, 
2450,也早该离了，你辛苦了…… 
2451,爱你👄 
2452,以后你会更好，越来越好 
2453,不忘初心，方得始终，初心易得，始终难守 
2454,我以为你们会安安生生一辈子，不在出状况，这是为什么？现在很多婚姻都是同床异梦，为了孩子而在继续凑合 
2455,希望你过的好 
2456,马伊琍是我从小到现在唯一  一个一直让我喜欢的明星，永远支持你 
2457,心疼你。以后好好的。 
2458,优秀你还能遇见更好的 
2459,你深爱过 努力过 原谅过 彼此成就过 往后各自欢喜，马司令，加油💗 
2460,以后的路好好走。。。你会更幸福的 
2461,愿你往后更美好 
2462,从来没在微博里评论过！第一次留言，一直特别特别喜欢坚强，正能量的你，加油加油 
2463,你要好好的 
2464,以后会越来越好，加油，爱你！ 
2465,且行且珍惜@赵天天: 宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
2466,很喜欢你，往后一定要快乐相随，平安顺遂 
2467,人生就是一场场告别，潇洒的走下去 
2468,终于离了，真好。 
2469,知道，理解你的不易，永远支持你我最喜欢的女演员 
2470,转发都无奈，不知道说什么 
2471,好聚好散🙏🙏 
2472,加油…… 
2473,希望能像剧里一样遇到贺函那么爱你的好男人❤️ 
2474,人一旦有了隔阂 就真的走不近了 
2475,回复@赵天天:彩虹屁 
2476,你会找到更好的。 
2477,他配不上你！你会有更好的👌爱你😍么么哒❤️@马伊琍  
2478,有些痛，提不提起在心里永远是一个不能愈合的疤！ 
2479,适合更好的 
2480,可惜，你是我最喜欢的明星！希望你可以像以前一样豁达。加油 
2481,文爱马要改名吗 
2482,哎之前觉得马伊琍文章cp和孙俪邓超cp很像都很感动，然而故事没能继续，愿遇到更好的自己吧 
2483,无论婚姻，或是工作，都是一座又一座的“围城”！冷暖自知，珍重❤️ 
2484,一别两宽 各生喜欢. 
2485, 
2486,好好的过好自己～保护女儿～ 
2487,往后好好过，会越来越优秀的 
2488,知道文哥为什么跟电风扇喝了 没毛病 我一直在 司令 
2489,破镜难重圆 
2490,分开就分开吧。不合适的话就应该分开。 
2491,会越来越好的，我自己也会越来越好的。 
2492,你是很优秀的 
2493,世间万物颠倒轮回，爱也好恨也罢 难言难语 。愿各自安好，此生不渝半遗憾，万事只求半称心，无奈无奈，祈求人愿，琍有苦，章有愁。吾盼二人莫恨莫远。 
2494,我正看着我的前半生然后热搜就来了 
2495,  
2496,期待遇到更好的人 
2497,你值得最好的 
2498,好好照顾自己，既然不爱了，分开也好，你会遇到真爱的 
2499,往后余生很长，为自己而活 
2500,希望你幸福！ 
2501,你值得更好的，余生加油！ 
2502,不愧是我女神，又有气质又有才学，且行且珍惜，此情有憾，然无对错。文章错过马伊琍真是他的损失，文章配不上女神。 
2503,早就觉得文章不是什么好鸟 
2504,誰說各自幸福不是最好的結局呢？只是兩人的分開應該會給大女兒帶來很大伤害吧～可憐的終究是孩子。 
2505,其实还是挺难过的。惟愿各自安好 
2506,人生最好的三个词 久别重逢、失而复得、虚惊一场。 但却没有「和好如初」。 只因和好容易，如初太难。 
2507,希望你幸福一辈子，虽然你每天都很开心，可是还是祝你快乐 
2508,和好如初 和好容易 如初太难 
2509,你永远是最好的！无需将就自己，一个人错了就是错了，不要去原谅，不用去委屈自己，镜子已有裂痕，是不可能完好的！他只是你的一个过客，没有他你会更好！永远支持你！ 
2510,一定要很幸福啊！ 
2511,你值得最好的 
2512,好好照顾自己，既然不爱了，分开也好，你会遇到真爱的 
2513,往后余生很长，为自己而活 
2514,希望你幸福！ 
2515,你值得更好的，余生加油！ 
2516,不愧是我女神，又有气质又有才学，且行且珍惜，此情有憾，然无对错。文章错过马伊琍真是他的损失，文章配不上女神。 
2517,早就觉得文章不是什么好鸟 
2518,誰說各自幸福不是最好的結局呢？只是兩人的分開應該會給大女兒帶來很大伤害吧～可憐的終究是孩子。 
2519,其实还是挺难过的。惟愿各自安好 
2520,人生最好的三个词 久别重逢、失而复得、虚惊一场。 但却没有「和好如初」。 只因和好容易，如初太难。 
2521,希望你幸福一辈子，虽然你每天都很开心，可是还是祝你快乐 
2522,和好如初 和好容易 如初太难 
2523,你永远是最好的！无需将就自己，一个人错了就是错了，不要去原谅，不用去委屈自己，镜子已有裂痕，是不可能完好的！他只是你的一个过客，没有他你会更好！永远支持你！ 
2524,一定要很幸福啊！ 
2525,加油！以后会更好，相信自己你是最棒的 
2526,最终还是离了…… 
2527,哎，哎 
2528,好文章哦 
2529,希望你余生幸福。 
2530,支持你！女神！你值得更完美的人生！而不是委曲求全 
2531,终究还是分开了，感觉好遗憾 
2532,对与错都不重要，重要的是维系不了的关系就要放手。对彼此也是一种解脱！人活一世快乐最重要。 
2533,什么原因 好奇 
2534,不管怎样你们就算分开，依然是最爱的演员 
2535,亲爱的马伊琍你要像前半生里面的自己，要坚强你会遇见像贺涵这样一个更爱你的人加油，苍蝇把粥弄坏了不要也罢 
2536,讲真的、作为过来人、我很肯定他将来会后悔、但那份后悔也只能埋藏在心中、最终只能成为两个陌路人、虽然有过错、但为了孩子、更希望还是在一起 
2537,好好的就行 
2538,女神，你要好好的，希望你的后半生能像《我的前半生》一样，会有一个更懂你更爱你的贺涵在等着你！！！ 
2539,很想你，希望你也平安喜乐 
2540,且行且珍惜，只是对生活的一种妥协。相信你们如果不分开，也能相敬如宾的生活一生。只是这样不平不淡，寡淡无味。分开需要勇气，之后的生活，精彩的以后，自己决定。 
2541,一如既往地喜欢你  
2542,回复@Candywang01:本来就恨她 
2543,希望你能遇上一个像贺涵一样的男人 
2544,支持你 
2545,加油，我很喜欢你，一直都在等你的戏 
2546,希望你幸福 一直坚强 
2547,既然一到无法继续的地步，就算了。祝幸福。 
2548,你值得更好的 
2549,回复@赵天天:你这个也太那啥了吧，你爸妈说了句我爱你就把你扔了？没有爱情也没有亲情了？变化那么多，真正不变的我感觉还是自己的爸妈 
2550,余生都是幸福 
2551,且行且珍惜 
2552,你是我的榜样，喜欢你的短发，你是我的偶像， 
2553,各自安好 
2554,婚姻不易，离了也是亲人。希望有朝一日能破镜重圆。 
2555,怎么感觉两个人是情侣头像 
2556,善良的你，配得上更好的未来。 
2557,支持你的决定，自己快乐健康最重要 
2558,时间修复不了痕迹 
2559, 
2560,加油 
2561,支持你，爱是无法挽留滴。坚强 
2562,最可怜的是孩子，有了一个不完整的家庭！ 
2563,爱你 
2564,马司令
2565,最喜欢的一对明星夫妻，最不想看到的结果 
2566,不乱于心，不困于情！不畏将来， 不念过往！如此，安好... 
2567,瞬间没爱了 
2568,离了好 
2569,祝福你，希望你越来越好 
2570,你的贺涵一定会出现的 
2571,终于可以在除夕陪你的父母了@马伊琍 
2572,只想告诉你，你是最棒的，祝你以后的日子没有烦忧！ 
2573,风趣谈人生 
2574,马伊琍愈加美丽，优秀的女人一定会更幸福 
2575,还是要好好的生活！ 
2576,女神，回归单身贵族，优秀女演员，依旧会喜欢你，请一定要幸福 
2577,一直喜欢你，加油 
2578,果真裂痕是修复不了的。 
2579,各自安好～余生祝福～照顾好自己～照顾好女儿～照顾好父母～累了就停下休息休息～往事随风而去！加油💪 
2580,遵从自己的内心！ 
2581,太可惜了 
2582,人生如戏，往前看，未来的路还很长，也许以后的新开始才是最适合你的，伊俐姐，加油，相信你未来会更好@马伊琍 
2583,祝福！ 
2584,心里终究还是有根刺啊 
2585,也是解脱 
2586,加油 
2587,如果你们是真心相爱的 我觉得那件事情总会过去 为什么这样了？ 
2588,你会更好的 
2589,各自安好，余生幸福！ 
2590,为啥马伊琍独特的美，文章不懂得欣赏与珍惜。 
2591,回复@向花花同学:总结的太贴切了 
2592,当他是个屁 
2593,愿你早日找到贺函 
2594,唉 好遗憾 
2595,你要好好的 
2596,越来越幸福！ 
2597,未来很长，加油！ 
2598,超爱你的马伊琍，愿你这辈子都会幸福 快乐。离开了文章一样可以带着两个女儿好好过好日子 
2599,安好！今天在三刷我的前半生，很敬佩你的演技！ 
2600,他离开你，是他的损失，你离开他，是你的明智。永远支持你！ 
2601,开始你精彩的后半生，你会遇到你的贺函，把你宠成小仙女，琍姐，爱你么么哒！ 
2602,记得蔡康永说，那不是原谅，是算了。有些事过不去。 
2603,你值得更好的 
2604,愉悦自己最重要，期待新作品 
2605,回复@赵天天:我跟你同名同姓 
2606,你会越来越幸福的！ 
2607,马伊琍加油！！谢谢你之前推荐的尹老师的书，把我引上了正确的育儿道路。希望你心怀远方，开心幸福！！ 
2608,回复@小哲love小魔豆:对自己好点，无论怎样都支持爱你到永远！ 
2609,支持姐姐！加油过好自己 
2610,加油 
2611,你值得拥有更好的 
2612,前半生无论对错，后半生一定幸福，维护好宝宝，你是最棒的 
2613,可惜了 
2614,智慧优秀的你，无论如何都支持你 加油 Love u 
2615, 
2616,你的剧一部一部追着看、反复看，昨天才把双城生活重看一遍看完，今天又看一遍找到你，光听声音都会满足，喜欢你的生活态度、喜欢你的一切，文章确实配不上你，可能是他的痞让你迷恋，终究，你还是选择各自欢喜，我想你从现在开始永远幸福！ 
2617,偶像虽然这是我想不到的结果   可是即使是这样也不会动摇我对的喜欢  爱你呦伊利  加油 
2618,将就的人不如放手 
2619,@咻咪嘞
2620,终于走到了这一天 
2621,好好地 
2622,为啥要离？有这么个男人是真的深爱你呀！ 
2623,你还是我们心中最棒的，支持你！ 
2624,一别两宽，各生欢喜 
2625,太可惜了多好的女人啊。 
2626,终究还是分开了，难过，你已经做了你该做的。加油 
2627,还好 你没有放弃事业  还好，你保持好身材和精致妆容 还好，你没有依附于任何一个人 还好，你还是你。 
2628,还有贺涵 
2629,现在的你是最好的你！加油！支持你！ 
2630,其实，你已经很棒了，痛苦一次吧，然后擦干眼泪 
2631,每个人都只属于自己。重新踏上征程 
2632,姐姐值得更好的，一别两宽。好好生活好好爱自己。 
2633, 
2634,好想抱抱你！我的女神。 
2635,我一直喜欢你 姐姐别难过 … 
2636,原来这就是爱情 
2637,我一直以你为偶像，因为你独立有主见，大气有演技，还因为你老公比你小9岁，我老公也比我小8岁，一直都是你在给我榜样力量。这下怎么整？说不相信爱情了，也不是，只是希望你们能一直走下去，永远做我们的榜样。好可惜，为什么你们要分开呢，马司令，是你飘了还是老公跟不上你了？ 
2638,回复@第八十八号的夜:祖国  家人 
2639,一切都是最好的安排，幸福在等你 
2640,被震惊到了，好不容易维持的婚姻最终还是离了！ 
2641,姐姐值得更好的人，以后的笑都是发自内心的，幸福快乐 
2642,女神，你值得拥有更好的人爱你！分开了，还保护着对方，一句然无对错！ 
2643,你的后半生会有贺函加油 
2644, 
2645,好吧 
2646,喜欢你。@马伊琍 
2647,姐弟恋最终逃不过的一幕...惋惜 
2648,你值得拥有更好的 
2649,姐姐，祝你开心。 
2650,希望你越来越好！ 
2651,全是输家，华为赢了， 谢谢大家 我说完了。 
2652,加油 以后会更好 
2653,离了也好 各自欢喜 各自安好 你这么优秀 你还是那个观众眼里优秀坚强的罗子君 
2654,你要独自美丽！超喜欢你的性格！ 
2655,华为p30pro 
2656,挺好！ 
2657,转发微博 
2658,各自安好 
2659,回复@猫小懒MUA:我估计有很多人有同样的感觉。希望大家顶我上来。 
2660,往后余生，一切安好！ 
2661,You deserve better 
2662,心里难受，希望你的选择是对的。 
2663,支持马司令，说真的，为你开心！  靠实力活成自己的女王👸，你完全可以！ 榜样的力量，对于孩子才是更好的教育！ 你会更好的，加油💪 
2664, 
2665,生了两个孩子很累的，夫妻两个人的感情与没有孩子相差好多。不得不说母亲要付出很多代价，又要照顾孩子打理家务还要挣钱，还要顾及老公，有时真的好累，但很多男人都不理解，还和结婚前一样。希望你越来越好吧，陪陪孩子偶尔还能拍拍戏 
2666,永远爱你 
2667,支持你的人一直在！喜欢你的人也一直在！你还有我们！！！ 
2668,离开了陈俊生，你会遇到更好的贺涵 
2669,幸福 
2670,最初认识马老师是2003年是那部《七日》，从那时起我就一直是马老师的粉丝。马老师，无论过去还是现在，您一直都是最优秀的，请您记得我们一直在您身后，往后余生好好爱自己，加油！ 
2671,爱你的粉丝永远顶你，文章不懂珍惜，你应该拥有更好的。 
2672,？ 
2673,加油！！！ 
2674,大气的女人 
2675,女神，爱你。 
2676,只要你开心就好！ 
2677,女人强大到可以为自己的生活负责，为孩子，父母，身边的每一位负责！如果实在没有了爱情，没有了关切，那么形同虚舍的爱不如分开，让彼此更轻松，只是苦了孩子！ 
2678,你是一个独立，勇敢的女人，加油！爱你👄@马伊利 
2679,安好 
2680,一次不忠……一生不用 
2681,天会黑人会变，哈哈隆 
2682,伊俐，活出精彩，这就是你的个性，干净，利落 
2683,早该离 
2684,今天是我的生日！偶然刷到了你的信息！风雨过后一定会有彩虹！人生不如意十之八九！你能这么坦然的，说明你已经释怀了！ 
2685,既然已经知道错了，还是原配的好吧，不管对家庭，对孩子！ 
2686,活在当下～姐姐过好自己的每一天 
2687,喜欢爱不一定要在一起，彼此更像是亲人一样，都好就行 
2688,各自安好 且行且珍惜 
2689,不知道为什么我这么难过 
2690,希望你能遇见爱你的”贺涵”，以后都要幸福! 
2691,为嘛看到觉得莫名心酸。。。 
2692, 
2693,心疼你，女神 
2694,生日快乐 
2695,不知道你伤不伤心，我是挺伤心的，毕竟当时那么努力的想要相守了，还是祝福你。祝福你。 
2696,终于解脱了！ 
2697,是的，一别两宽，各生欢喜 在一起的时候，好好爱了，不爱就好好分开，谁也不羁绊谁，有孩子，还以亲情相待，祝福你们两个，也希望孩子们好，爸爸还是爸爸，只是爸爸妈妈在一起不开心了，人要和让自己开心的人在一起 
2698,加油 
2699,不要伤心不要哭泣，真正相爱的人无论如何都不会分开，证明他不是你的，是你的别人抢不走，不是你的强求不来，挺喜欢你你拍的剧我都喜欢，祝你早日找到属于你自己的真命天子！ 
2700,找一个一辈子爱你男人，你会幸福的 
2701,⛽️ 
2702,勇敢做自己 支持你 
2703,伊琍，加油！ 
2704,女神加油，爱是自由的 
2705,女神祝你幸福 
2706,那剃刀边缘还会拍嘛 
2707,可能生活就是这样吧。就算做好万全的准备，也会遇到未知的强烈冲击。更何况，对于未来的一无所知。只是还是会觉得可惜。祝福 
2708,且行且珍惜→各生欢喜      文案都不错 
2709,感到💔 ，曾经很看好你们这对姐弟恋，如今官宣，希望各自安好，就是给对方最好的祝福！ 其实我最爱的还是@电视剧小爸爸官博 “于果”“李三妹”@文章同學 @马伊琍 
2710,🌠 🌠 
2711,我和前任最好的时候就一起看《奋斗》，他总说我性格像你，我一个不追星的人默默爱了你很多年，今夜特别想他，特别想哭，特别想醉…… 
2712,人生真的有很多不如意，婚姻对于女人来说也不是生命的全部，加油，你永远都是那个坚强的罗子君 
2713,离了吧！他不配你！你会找到更好的人，找到你的真爱！ 
2714,支持一下 
2715,听到这个消息难过了一天，各自安好吧 
2716,前半生已亦，愿后半生顺遂！ 
2717,可惜了，好喜欢你们两个 
2718,人生没有对错，好好活着开心最重要，跟着自己的心走，你是最美的 
2719,陪你走一生的人只有你自己！ 
2720,人家夫妻感情床上的事任何人都不了解，所以喷子就闭嘴吧！只因为他们是明星？ 
2721,余生各自安好 
2722,恭喜女神 
2723,回复@赵天天:还真是无言以对，我的中国！可是港独永远不明白，祖国母亲 
2724,姐，其实你当年有点不成熟！ 
2725,始终支持你。无理由。 
2726,女神，加油！你的后半生值得更好的！！加油↖(^ω^)↗ 
2727,你会过的更好 
2728,多希望是愚人节 
2729,tu 
2730,我们的前半生，无关对错，只有成长！ 
2731,加油，下半生好好过下去，要幸福哦 
2732,祝幸福！ 
2733,回复@赵天天:做自己想要的那个人，加油！ 
2734,加油 
2735,要好好的~ 
2736,往后余生，还是要幸福呀！ 
2737,你值得更好的 
2738,往事如风！且行且珍惜！加油 
2739,诶……………… 
2740,贺电 
2741,俩人文案像是出自同一人 
2742,即便为了孩子，也没办法且行且珍惜.... 
2743,各自幸福安好。 
2744,即便是为了孩子，也没办法且行且珍惜…… 
2745,祝幸福 
2746,不管怎样，支持你的选择。 
2747,加油，你值得拥有更好的 
2748,前半生没有对错，只有成长。 会越来越好的鸭～ 
2749,你还有我们。你是我们永远的夏琳。 
2750,得饶人处且饶人 
2751,分开以后  要好好生活 不要有羁绊  活成你喜欢的样子  当然  你一直都是最美的 
2752,就是觉得挺心的疼马伊琍，妈的。 
2753,早该离了 
2754,回复@Katherine九书清欢:华为足够优秀，不经意间有人为他做足了广告 
2755,各自安好～加油@马伊琍 
2756,       你我深爱过，努力过，彼此成就过。此情有憾，然无对错。往后，各生欢喜。 ​依然亲情守候 
2757,如果女人成长了，男人还是没成长，那么努力过了，现在也不会后悔了，彼此珍重！ 
2758,一别两宽，各生欢喜 
2759,回复@赵天天:不爱，为何结婚， 
2760,爱你 
2761,加油，司令 
2762,回复@赵天天:哈哈哈哈哈哈哈哈 
2763,加油，你值得更好的！@马伊琍 
2764,一如既往的喜欢你，那个“贺涵”在等你 
2765,希望女神以后越来越好，你是最棒的 
2766,一声叹息，加油 
2767,不管发生什么事，我都一如既往地支持你！加油＾０＾~ 
2768,你已经很优秀了 相信你内心的强大 加油💪 
2769,有多时候，希望你们也是普通人，但你们是公众人物，多希望你们能给我们的是正能量。 
2770,往后余生 大好时光等你 
2771,余生很长，一定要幸福哦， 
2772,你值得更好的  加油    期待你的作品 也期待你的幸福 
2773,你值得拥有更好的！！！往后余生永远被呵护！！！ 
2774,真心祝福你  以后能安然生活！专注拍戏！  作为粉丝 不过多评论，只有支持。@马伊琍 
2775,加油 
2776,过来剪剪头发吧 
2777,如果不爱，彼此放过！是对爱情的救赎！ 
2778,加油，往后余生好好过。。。 
2779,他不值得你爱，支持你 
2780,姐，你永远都是最优秀，最值得的人，加油💪！ 
2781,女人请自私一点，对自己好点！ 
2782,女神最棒。 
2783,祝好 
2784,很期待你走出来之后，会有更精彩的作品出来。曾经你们两个人都是我的偶像，所以做什么我都会真心祝福你们，彼此安好，快乐，随心所欲即是真 
2785,莫名觉得心酸 
2786,女神，你值得拥有更好的 
2787,喜欢你，不管怎样希望你幸福快乐。 
2788,好喜欢马伊琍！不论怎样都支持你！ 
2789,早该离他而去，你很棒了。 
2790,文章马伊琍最终还是离了，有裂痕的婚姻原来还是走不到最后，破镜终难圆。他们终于可以各自寻找幸福了，也算是好事～ 
2791,唉。。。还是分了么？？？ 
2792,加油💪 
2793,支持你！ 
2794,还是没有走到底，喜欢你们俩 
2795,我的偶像，你怎样都是最美的，你值得拥有最好的！ 
2796,几年前我觉得就该离了，破了就是破，怎么努力修复，也会有裂痕 
2797,祝你幸福！永远都幸福！一定会越来越好！加油 
2798,愿安好 
2799,哥们，怎么了你俩 
2800,你值得更好的。 
2801,和好容易，如初太难。。各自安好吧 
2802,心疼马伊琍 
2803,还是别离了 
2804,智慧型女人，好像也不是夸人的话了。那句且行且珍惜的智慧，并没有换来后来相安无事的开心。 
2805,出过轨的男人就像掉进屎里的钱一样，就算捡起来洗干净了，也不可能再让他呆在钱包里了。 
2806,华为足够优秀，有人替你做足了广告 
2807,我对快不相信爱情了 
2808,“深爱过，努力过”揪心💔 
2809,有多少世间万物沦落为孤独一注，才会羡慕别人的幸福”。 
2810,27字，7标点。彼爱深，意过去，痛当初，安余生。愿镜中不悔，生安然。 
2811,看热闹的终归是看热闹的，繁华褪去，难过的人还是会难过……婚姻不易，但破镜难圆，希望生活中会出现你的贺涵 
2812,祝福你 
2813,我希望还有复合的机会 
2814,女神、你一定会找到属于你自己的幸福！加油💪 
2815,希望我的女神永远幸福 
2816,你是怎么做到放下？ 
2817,昨日预热
2818,祝好盼安 
2819,文章配不上你 
2820,加油，挺你 
2821,你一定会越来越美，快乐欢喜 
2822,我不接受 
2823,下一个官宣的会不会是佟丽娅 陈思成？ 
2824,愿 往后余生，幸福快乐都是你！ 
2825,感觉像迟早要发生一样 
2826,马司令请努力前行，挺你 
2827,好难过，喜欢你们夫妻档 
2828,愿你在以后的日子里遇见你的陆涵 
2829,周五才看完 我的前半生 
2830,情侣头像还在 说明感情还在 只是换一种生活方式 
2831,刚和家人再次刷完前半生，人生有太多的转折点，谁能在事前知道结果好坏呢，加油！ 
2832,回复@赵天天:我爱祖国 
2833,爱咋咋 我只希望邓超和孙俪好好的 
2834,看到你的勇敢，给了我想离的动力 
2835,一直很喜欢马伊琍的性格，文章配不上她，一丁点儿都配不上，看网上有说，他已经把当年道歉微博给删了，由此可见，这是一个什么样的人啊？马伊琍能忍这么久，真是佩服 
2836,罗子君离开了陈俊生才能遇到贺函～ 
2837,我也喜欢鹧鸪哨。。。 
2838,你一定要幸福！ 
2839,喜欢你！无论你怎样，我都喜欢你！ 
2840,仍要继续幸福，永远爱你@马伊琍 
2841,加油，追求幸福生活 
2842,姐，在你身上我看见了别的演员没有的自信，真的，那种自然而然散发出来的自信， 
2843,祝福马伊利后半生更加幸福快乐，一帆风顺， 
2844,加油 👍 
2845,对这个结局只能说很遗憾，因为毕竟当时选择原谅，选择一家人完整 
2846,回复@Banabalaba:我也是 
2847,我遇见一个人，犯了一个错，我想弥补想还清，到最后才发现你根本无力回天，犯下的罪过永远无法弥补。我们永远无法还清犯下的错误…   女神，谢谢你的坚强让我透彻，今后，互相陪伴 
2848,一道伤痕在那里，终归破镜难圆！ 
2849,此情有憾，然无对错。好豁达 
2850,就此一别两宽，余生各生欢喜 
2851,何必惋惜！早该结束。真能忍 
2852,遗憾也不稀罕吧，裂痕终究是裂痕。 
2853,爱情本无对错，只是人的问题，祝你幸福 
2854,加油～ 
2855,找你的贺涵去吧 
2856,马伊琍说了爱你就是真的爱你， 马伊琍说了再见 就不会再回头了。 
2857,卧槽 
2858,一直很欣赏你  从你们宣布结婚时就不看好文章 觉得文章配不上你  你是聪慧的 值得拥有更好的  加油  永远支持你 
2859,心疼马伊琍 
2860,姐，替你开心。 
2861,开心就好 
2862,愿好 
2863,各自安好，便是晴天@马伊琍 
2864,加油，好好的 
2865,好像早就预料这一天，且行且珍惜之后的日子也并不开心吧 
2866,好可惜 
2867,以后更幸福 
2868,祝永远幸福，继续精彩 
2869,不管怎样都喜欢你们！ 
2870,不用理会太多，做自己想做的去吧！记住有很多人都会默默的支持你！只是他们平时都不出声罢了！ 
2871,到了这个年纪 通透很多 相处不累最重要 
2872,棒 
2873,我的女神，不管怎么样祝你永远幸福，一直支持你。 
2874,加油～ 要依然相信爱情～ 
2875,马伊琍 加油！ 
2876,要幸福啊 
2877,老天不会辜负你 
2878,祝福你！ 
2879,回复@赵天天:祖国 我爱你❤️ 
2880,婚姻里出现裂痕是修复不好的，只是你们不想自己留有遗憾，去尽力了，去争取了，无愧于心，也无愧于人，更无愧于孩子，但一直都相信你，你值得拥有更好的…… 
2881,意料之中，早就可以分开了，难为你了往后余生，平安喜乐。 
2882,心疼 
2883,女神要好好的，可以来云南旅游散心 
2884,往后余生，好好过，比前半生的子君都要过得好，误拿真心喂给狗。 
2885,放过自己吧！好好生活 
2886,此情有憾，然无对错。愿往后无比幸福  
2887,我只期待，我的前半生2，啥时候能等到 
2888,相信马伊琍这几年过的只有她自己最受煎熬 
2889,高 
2890,他本来就配不上你，后半生更快乐！ 
2891,终于解脱了… 
2892,只愿你们以后个自安好 
2893,@马伊琍 好的坏的 希望选择是对的 
2894,不论如何支持你👍 
2895,感觉你痛并快乐着！ 决定很难，毅然决然！ 
2896,好好的，依然爱你 
2897,你最好 
2898,女人能靠自己在社会上立足，还怕遇不上好男人？！加油💪 
2899,啊～我想看剃刀边缘 
2900,我的女神，往后幸福。 
2901,回复@yangdianchaohh:我也是  哈哈哈哈哈哈 
2902,加油 
2903,余生还很长，希望再次遇见幸福 
2904,支持你找个90后，你值得拥有！ 
2905,祝福 
2906,哎，相当无语了！ 
2907,都多大了？想孤独终老吗！ 
2908,余生请快乐 
2909,到底还是修不好破镜 
2910,除了加油，没有更好的语言，加油吧余生💪 
2911,好遗憾 
2912,所有人在发誓的时候都是真的觉得自己一定不会违背承诺，而在反悔的时候也都是真的觉得自己不能做到，所以誓言这种东西无法衡量坚贞，也不能判断对错，它只能证明，在说出来的那一刻，也许彼此曾经真诚过。只是，“此情有憾”真叫我心疼… 
2913,你要好好的，为了这种男人真心不值得！ 
2914,同姓人 你要快乐 
2915,对于错一念之间，还各生欢喜，为了孩子为啥就不能好好过日子。爱情里没有谁对谁错，何况你俩都为人父为人母了，正能量电视剧里面传递的挺好，为啥轮到自己头上就不能坚持✊，更何况你们是公众人物。 
2916,要不嫁给我吧， 
2917,回复@赵天天:都好像男的背信誓言了 
2918,你值得更好的 
2919,勿错过 
2920,加油！活成最好的自己，余生做最好的自己，爱自己，您值得拥有更好的！ 
2921,加油，离开的你会更精彩！ 
2922,找自己的幸福去，会越来越好 
2923,世间所有的离开，都并非一时兴起，而是成百上千个日日夜夜的蓄谋已久和思量徘徊。缘已至此，各自珍重！ 
2924,好好生活@马伊琍 
2925,各自欢喜❤️ 
2926,回复@元气少女叶素芬:女人的嘴就不骗人了？ 
2927,不管怎么样，他真的爱过你，希望你可以幸福 
2928,？ 
2929, 
2930,开始新一轮奋斗，伊琍加油！！！ 伊利，蒙牛你俩滚远点！！！ 
2931,幸福就好 
2932,亲爱的偶像，我一辈子只喜欢一个偶像那就是你，你让我好心疼，你要好好的，我相信你可以好好的，我们都在，我们都爱你 
2933,不想看到的事情还是发生了，原来破镜真的不能从原，哎…… 
2934,生活不易，且行且珍惜 
2935,祝你幸福快乐 
2936,姐别伤心 
2937,回复@-邵文倩:看到你的名字，你好我叫邵海林互粉一下 
2938,终于解脱了，心中有坎儿过不去。 
2939,你俩现在的头像很情侣 
2940,各自安好吧，这样对你们都好。 
2941,是该真结束了 
2942,女神加油＾０＾~，往后余生，爱你所爱，开心快乐每一天！！！！ 
2943,你值得拥有更好的💪 
2944,所有人在发誓的时候都是真的觉得自己一定不会违背承诺，而在反悔的时候也都是真的觉得自己不能做到，所以誓言这种东西无法衡量坚贞，也不能判断对错，它只能证明，在说出来的那一刻，也许彼此曾经真诚过。但又如何… 
2945,我相信，没他的日子会更好 
2946,永远支持你我的女神 文章根本就配不上你 希望你以后更加幸福 
2947,同为女人 你做的很好了……加油今后会有更好的生活 
2948,恭喜了 
2949,好希望你们可以复婚。 
2950,既然选择了 无论怎样 你过得好就好 
2951,你值得拥有更好的！ 
2952,昨日种种已逝，未来每一步踏实走吧！ 
2953,祝福马姐姐，不容易两个宝宝的妈妈，不管离开了谁都要幸福 
2954,马蓉真Jb 
2955,看到夫妻各自的宣告，瞬间眼泪流下来……有过爱情，亦遗憾和无力感…… 
2956,加油！你值得拥有更好的！！ 
2957,挺好 
2958,余生幸福 
2959,还是很难过 
2960,加油～你是最棒的姑娘。一定要幸福 
2961,永远支持你！你值得拥有更好的……🌹 🌹 🌹 
2962,破镜难重圆 
2963,他们两个都不敢给网友评论一个设置关注七天才能评论一个100天 
2964,加油💪 
2965,自己都可能对不起自己，还不说人心 
2966,华为最大赢家 
2967,一别两宽各生欢喜 
2968,去寻找你的贺函吧，你值得拥有 
2969,姐弟恋终究不会长久 
2970, 
2971,回复@赵天天:确实 
2972,祝幸福 
2973,回复@我和狗子的秘密基地:一别两宽，各生欢喜 
2974,爱你的永远在，不爱你的留着也没用，加油吧 
2975,这个... 
2976,有瑕疵了，，真的很难往下走，望你安好！ 
2977,上次应该做的，这回种于做出了正确的选泽好样的。 
2978,有裂纹的镜子终究照不出圆满的美丽 
