,wenzhang_comment
3289,我不想让你们俩分开特别喜欢你们两个，我想看到你们两个携手走到最后的样子，这几天我一直在看（小爸爸），非常非常的喜欢你们两个，今天看到了这个消息之后，伤心死了 
3290,回复@你老公叫仙洋么:跟我想的一样一样的 
3291,人都有对错！多一份谅解！愿继续你的拍戏之路 
3292,为什么呢 
3293,我支持你， 
3294,厉害了 
3295,虽然爱情里没有谁对谁错，但是个人认为女人永远比男人付出的多，受的委屈也多 
3296,余生请好好工作 期待你的作品 
3297,不爱了分开也是好事，果然年龄差距不能太大啊，守不住 
3298,@黄笨笨爸爸 破镜难重圆 
3299,可算是离了，解脱了挺好！支持 
3300,一别两宽，各自安好 
3301,结局在结婚时候早已料到 好聚好散 
3302,加油吧，生活还是要继续的，做过的事情自己承担，别人的评论随他去，加油文章@文章同學 
3303,感觉文章比较压抑，希望你能振作起来 
3304,热度这么低吗 
3305,同行的人，未必同路，到了路口自然就会知道。 
3306,所以，所有的誓言都是最不靠谱的！还是去看蜜汁小鱿鱼去吧 
3307,华为成大赢家 
3308, 
3309,最喜欢奋斗里的歌，永远不回头！ 
3310,放开自己，寻找幸福。一直都支持你，文章同学 
3311,期待小文重出江湖，再创事业高峰！ 
3312,回复@你老公叫仙洋么:@你老公叫仙洋么 
3313,文哥 
3314,我觉得文章该复出了吧 
3315,可惜。但不介入。依然爱你文章。加油 想看你的新作品了 
3316,回复@你老公叫仙洋么:上去 
3317,回复@电動马达哟:偶像，累了就去散散心。有喜欢的就勇敢去爱。不要难过。心里一直挺你 
3318,可惜 
3319,其实 感情真的很难分出对错。人终究还是要快乐的过这一生 互相祝福就是最圆满的结局 
3320,不知道咋说有点难受 
3321,追悼会吗 
3322,对你太失望了，你不是一个好丈夫 
3323,一个巴掌拍不响 婚姻是两个人的问题  期待您的新作品 
3324,挺失望的，不过也挺好的，或许这才是婚姻本来的样子。做不到就彼此放过 
3325,加油文章！ 
3326,回复@电動马达哟:累了，就歇息，必竟年轻，只是余生要慎重 
3327,很喜欢你的演技。祝你们各自安好。 
3328,期待你的好作品 
3329,没有错对，只有成长 
3330,受伤的总是孩子 
3331,这难道就是且行且珍惜的最后答案？心塞呀 
3332,我要哭了 
3333,诶 就不能凑合过么？ 
3334,不应该啊小文 
3335,会娶姚迪吗 
3336,小文哥，伊琍姐，你两啥情况啊，太突然了，真的感觉好心疼，@马伊琍 @文章同學 
3337,闷不声的就行了，还爱什么爱，苍白无力…… 
3338,祝愿二人各自安好 
3339,解脱 
3340,每个人都要为自己犯下的错买单，各自安好吧！ 
3341,也许各有各的难处吧 
3342,好好的一个家，余生各自安好吧 
3343,文章的演义之路到此结束 
3344,失恋33天，有毒 
3345,文章。我爱你。 
3346,永远爱你。 
3347,孩子咋办啊 
3348,你是我有生以来唯一喜欢的男演员。没有之一。 
3349,最好的结局便是各自安好，无爱无恨。 
3350,伤了孩子，可怜受伤的总是孩子！ 
3351,心痛吧，也许你现在不痛，你过半年一年的再看看，你跟别人在一起时也经常会拿出来跟马伊琍比较！都是离过婚的人……以后怎么相信爱情 
3352,还是心里过不去，也能理解， 
3353,大风大浪都能一起走来，回归平静怎么就一别两宽了？？？只是孩子们再无完整的家…… 
3354,哎，真的非常喜欢的一对居然也... 
3355,为什么呢？莫非和那个谁？ 
3356,你们的前半生 
3357,两个女儿是最可怜的 
3358,为什么作为文章哥哥的真爱粉，我依然觉得你爱他。他爱你。我不相信这是真的。呜呜。但是我希望你好。希望马老师也好。 
3359,好好的，为什么发出来的是繁体字？ 
3360,你真是对不起马伊琍和你的孩子，以前很喜欢你，以后再也不会看你的戏了 
3361,终究还会是离的 
3362,哼😤！ 
3363,骄傲的马司令，不会再爱你了。 
3364,希望你还可以多照顾照顾我的女神马伊琍 
3365,好聚好散吧…… 
3366,其实你们都不容易 
3367,当初的承诺成狗屁，十年婚姻给你生下两娃就这么离了 
3368,又热了 
3369,加油老乡，支持你。 
3370,回复@小水舞啊:我也这么觉得！我总觉得姚迪是个特别好的人 
3371,余生慢慢体会吧 
3372,文章加油。马伊琍加油。互相祝福吧。希望你们都能幸福。 
3373,加油吧，我的男神 
3374,离了还说这些干嘛 
3375,唉 
3376,太可惜 
3377,这一路的隐忍，真的不值得 
3378,回复@尐果果413:2009年的时候，匆匆那年还没火，手机还只有2G，我用诺基亚5230存着书签把匆匆那年看完了，没想到后来火了，只不过拍出来的还看书自己营造的感受往往是有很大差异的，这也是为什么我们许下誓言的时候想象的很现实不一样。祝安好。 
3379,这样也好，各自安好！ 
3380,为什么不能好好对她 
3381,你还写了繁体字，真淡定 
3382,从小就挺喜欢文章的。也挺喜欢马伊利的，一直觉得他两挺配，不管合还是离，都属于你的私生活，我们只想你抓紧时间调整状态，好好演戏，你的每一部剧都喜欢看。 
3383,哎…… 
3384,没法破镜重圆，倒不如体面分开 
3385,我也经历同样的事，可能怎么办，自己没骨气，父母都不在了，远嫁，还能怎么样。 
3386,你确定你爱伊利？ 
3387,第一个想骂的男演员 
3388,夫妻俩都很爱国  支持国产手机  用的都是华为手机 
3389,可惜……祝好！ 
3390,回复@新娘笑眯眯什么:有什么好喷的，如果能冒着这么大舆论在一起，应该是真爱了吧。 
3391,一觉醒来吓我一跳 
3392,从且行且珍惜开始你就默默地做着爸爸这个角色，总感觉你一直被这段破镜的婚姻压制着，还好，离了可以走出这个背负多年的坏名声，从新开始你的人生吧！演技颜值都在在线的男演员-文章！ 
3393,我又看了一遍少帅、其中的张学良感情经历更像现实中的文章、 
3394,文章是港台同胞吗？用繁体字，纯属好奇 
3395,加油吧，既然没有感情了，勉强在一起也是更累，不如分开.人生苦短 都别委屈了自己 
3396,很期待你演电视剧电影@文章同學 
3397,哎 
3398,愿你走出半生，归来还是文章 
3399,可怜了孩子 
3400,唉，我不相信爱情了 
3401,回复@你老公叫仙洋么:老大 
3402,期待你演的电视剧电影 
3403,加油吧，有这种经历的人很多 
3404,破镜难以重圆！！ 
3405,好聚好散，心怀感念，必经有曾经，放手也是成全 
3406,你比贾乃亮和李小璐诚实 
3407,加油，以后会更好 
3408,你负了她 
3409,……… 
3410, 
3411,什么人 
3412,啊？？！！ 
3413,你对不起你的婚姻 
3414,虚情假意 
3415,加油吧 
3416,不知道说什么  希望你们未来都能好好的  你是个好演员  加油。 
3417,离个婚，花样还不少 
3418,好聚好散 
3419,终究你还是负了那个曾经最爱你的女人。 
3420,不配说爱伊琍 
3421,始终喜欢你。加油吧。 
3422,好聚好散 
3423,爱就重新追，让感情来个涅槃重生，拿出比你当初追马伊琍千倍的诚心重拾幸福与责任 
3424,转发微博 
3425,信誓旦旦不一定假，他只是短 
3426,n 
3427,加油，一切都会好起来的 
3428,哎 
3429,挺你文章。 
3430,一盘好棋，下到一拍两散.....爱与不爱都未必是真的。 
3431,回复@你老公叫仙洋么:上去 上去 
3432,为啥很伤感啊呢 
3433,希望你一切都好！加油 
3434,爱情不过是生活的皮 
3435,唉  文章当年是真的火   虽然现在的微博评论只有几百但是他的粉丝五千多万啊    以前的时候真的火到爆炸！！看到很多年轻小孩说不知道他   气死了 真的觉得可惜   像柯震东一样可惜   经不住诱惑的人啊唉 
3436,加油哦 
3437,破镜真的不能重圆！ 
3438,我想上去。宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！求上去 
3439,且行且珍惜 
3440,好好演戏，继续支持你 
3441,不管什么选择，都支持你 
3442,最喜欢你们两个，各自安好！ 
3443,看到心都碎了。加油文哥，加油俐姐 
3444,又一个跟我一样站着茅坑不拉屎，我是分手了就不联系了，你却还要干什么？ 
3445,今天周日不是不上班吗？ 
3446,总觉得很可惜。。。。。。 
3447,一如既往的支持   加油💪 
3448,惋惜 
3449,明星们的婚姻更像过家家！接下来又轮到哪一对了呢？ 
3450,下一个李小璐贾乃亮 
3451,希望马伊琍的后半生幸福，美满 
3452,孩子怎么哩 
3453,挺好…… 
3454,当初一起看月亮的时候叫人家小甜甜，如今新人胜旧人，叫人家牛夫人了 
3455,回复@黄老板诶:各位别超心了  分开也是亲人 
3456,文哥好好滴……不要闹…… 
3457,真的希望你能有一个男人的担当 
3458,愿各自都好！ 
3459,愿你们一切都好，或许过了多少年还有新的未来 
3460,和姚晨在一起吧！你一定还爱着她 
3461,哪里爱了！！ 
3462,爱她为什么还要离？ 
3463,终究还是这个结局，各自安好吧 
3464,好开心 
3465,小六子，吃酸菜 
3466,各自欢喜，一别两宽! 
3467,一直支持你 
3468,回复@王滢善善:这个道歉把自己都阉割了一样。爱不是责任不是弥补，是我爱你，对你更好，好好面对，我们一起 
3469,不成熟的男人外加没有自控能力，早晚放肆失控。成熟知性的女人还是要找思想同步的男性。 
3470,哎，希望你以后也能好好的吧 
3471,还是分开了 
3472,你不适合马伊琍，她太任性，岁数也大，依旧喜欢你，要振作。 
3473,愿你们各自安好 
3474,好奇的是为啥要用繁体字 
3475,破镜终难圆 
3476,破镜难重圆 
3477,一声叹息 ¡评论配图 
3478,从爱情到亲情是一个艰难的过程！人们都说这是爱情升华了，其实是懒得用心去爱了！ 
3479,演员，好好演戏吧！导演，好好拍戏吧！ 
3480,繁体？发个声明怎么也不认真点 
3481,这个时候还说什么爱 
3482,回复@电動马达哟:破镜重圆  就不会分开了  就是将就不了 才分开了 
3483,觉得挺可惜的 
3484,回复@你老公叫仙洋么:洋终于找到你了 
3485,祝福你们 
3486,一发这种八卦立马百万的赞 
3487,第一次约会，看的失恋33天。然而，我已经分手了5年。这好像是好长好长的一个梦。还是做重情义，真洒脱的卓越吧。 
3488,哎……最后一句大可不必！放下即是人生！ 
3489,你们结婚时，早猜到结果了！ 
3490,你对不起她 
3491,各自安好。 
3492,唉 
3493,…… 
3494,各自安好吧  分开也不是错事 
3495,我只想说，去百度翻译这句话，瞬间出来了全部内容，厉害了 
3496,别人的家事，不知缘由，不评论，不过剧里记得文章说过一句话，细节打败爱情，10年的婚姻总结的。这是真理，希望你们各自安好 
3497,回复@你老公叫仙洋么:老大我没有喜欢过任何明星，我就喜欢你 
3498,对感情要求太高了 
3499,回复@该上班上班:你说话太不好听了 ，你就不干瘪瘪的，永远支持伊俐 
3500,既然分开了，说啥守护都是空话，但愿好好守护是你的孩子！ 
3501,多拍点好的作品吧 
3502,我的天呐 
3503,难过 没别的 怎么了 就不能在一起 
3504,好聚好散 
3505,一个女人为你为之付出多少~你，不值得！！！愿余生你还能谨记一路走来为你真心付出的女人和孩子，更多的弥补她和孩子们! 
3506,这条怎么还不爆，祝各自幸福吧 
3507,回复@太子妃V5:为什么把女人和家庭排在所有之外，女人和家庭有了才有所有 
3508,回复@你老公叫仙洋么:我是看超話過來的 
3509,挺你，希望尽快看到你的作品 
3510,回复@你老公叫仙洋么:仙 
3511,回复@电動马达哟:好难过，就是觉得你们俩应该在一起！ 
3512,说实话，我还是很喜欢文章，私生活与我无关，他的演技的确无话可说 
3513,一别两宽，各生欢喜。 余生很长，你会发现自己还是忘不了前妻的。 
3514,心疼马伊琍 
3515,7月28，同一天，我们就去爱吧728 
3516,从宏观来看，往后的社会，婚姻势必不是必须经历，只是不同人的不同选择 
3517,我一直非常喜欢《雪豹》里周卫国那个角色，有情有义，霸气十足，从前是，现在还是。 
3518,回复@goodvibesonly0802:他俩头像真像情侣的 
3519,加油吧 兄弟，支持你 你是个好演员 好导演 喜欢你的作品 
3520,各自安好 便是晴天 爱过无悔 
3521,真心不想看到这样的结果 
3522,各自安好就挺好 
3523,愿安好 
3524,哎 
3525,所以破镜是不能重圆的 
3526,一直在 
3527,对孩子的伤害，真的罪无可恕。没有原谅的余地。 
3528,回复@你老公叫仙洋么:找到啦 
3529,回复@逗娥一逗逗逗:我也水果换华为了，再也不用担心没电了 
3530,哎 
3531,加油文章。喜欢你的每一步作品 
3532,回复@偷1串葡萄:老女人总比你强  
3533,如今的米已不是当初的你 
3534,哥 我支持你 
3535,感觉一点没有惊讶到！！！！！！ 
3536,回复@童年碎片bo:加油  好好演戏 你的电视剧和电影都太好看了 
3537,结局早已注定 
3538,既然不能破镜重圆，分开也好 
3539,加油 
3540,各自安好吧，以后都好好的！彼此祝福吧，我还是很喜欢你，小文同学 
3541,哥，咱们一天，往后余生，珍重 
3542,明星也是凡人 谁的人生都不尽完美  别在压抑…继续前行 
3543,唉 
3544,回复@你老公叫仙洋么:一個很霸氣的男人經典老演員像支持你一樣 
3545,好好演戏 
3546,吾爱伊琍？？？？？？？？？？？？？？？？？我没看错吧 
3547,且行且珍惜 
3548,终究是破镜难圆，能做出来这选择真的是太不容易了。 
3549,终于…… 
3550,不想看到你 
3551,回复@醒在梦静上:名字好听 文爱马 结果文还是辜负马 女儿名字让人心痛 
3552,回复@你老公叫仙洋么:我洋，要对仙女好 
3553,破镜难重圆 
3554,文章同学；感情的事情没有对与错，
3555,欣赏您的作品，荧屏上需要您的好作品，期待复出 
3556,可怜伊琍。 
3557,好好的吧 
3558,爱与不爱，守不守候余生各自安好，勉强没必要 
3559,正在看剃刀边缘！太突然了！ 
3560,还有什么话要说 
3561, 
3562,可惜了 
3563,希望她还在等你。希望。。 
3564,活该 
3565,好聚好散！各自安好 
3566,不管什么结果，都理解你们！ 
3567,两个都是超喜欢的演员，各自安好 
3568,婚姻是盟约，圣经，请了解一下。   那人说
3569,回复@你老公叫仙洋么:哈哈 我喜欢的人竟然也喜欢我喜欢的明星！ 
3570,@邓and孬: 宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
3571,复合的这几年里你过得怎么样你比谁都清楚，感觉是再为自己赎罪，这个结果虽有遗憾但也现在自由了，挺好！你依然是我也最喜欢的男演员，没有之一，加油！ 
3572,文先生，再见 
3573,回复@黄老板诶:你心疼你妈不 
3574,小文同学，祝你安好 
3575,珍爱下半生 
3576,第一次用苹果手机也是看你的裸婚时代买的，第一次知道微博这东西也是通过你知道的，余生说长不长，说短也不短，既然不爱了就各自放手追寻自己的未来的幸福，我从来不相信结婚时的海誓山盟，时间才是最好的答案，你和马伊琍都是我非常喜欢的演员，现在亲情还在，好好对她们，各自安好吧 
3577,离个婚都说得这么有水平， 
3578,好心疼的感觉…… 
3579,都离了还有毛线的亲情守候，矫情。 
3580,好难过，好难过 
3581,祝你一切安好～ 
3582,可惜啊 
3583,祝好， 
3584,爱她还劈腿 讨厌 
3585,希望马伊琍幸福！ 
3586,各自安好 
3587,无论是明星还是平民百姓，我们都不愿看到夫妻是这样的结局，愿此生嫁的那个人，是可以陪伴终身的人。 
3588,还会找姚迪吗 
3589,曾经那句且行且珍惜。在我眼里不过是，得过且过，不得不过，过一天少一天而已破镜永远难圆 
3590,回复@JennyMooo:哈哈哈 蒙牛 光明 在前进的道路 让文章断送了～ 选择最佳伊利 
3591,这广告打的不错，一个保时捷一个p30，任老爷子偷着乐了～ 
3592,爱她还劈腿 
3593,离了也好 解脱 。 裂痕的婚姻就是这样 
3594,还是过不去那道坎…… 
3595,她都原谅你了，为什么还不想在一起呢？ 
3596,以后的路加油＾０＾~相信你 
3597,还爱啥啊 
3598,回复@电動马达哟:希望还是完满的好一些，多为孩子想想 
3599,加油吧，少年！ 
3600,只有失去过。才知道当初爱的有多深刻 
3601,可能还会像亲人那样吗？ 
3602,回复@goodvibesonly0802:秀儿 
3603, 
3604,既然离了就去找你的爱情吧，毕竟每个人只活一次 
3605,文老师今后好好的 
3606,加油 
3607,恭喜恭喜，一别两宽     ，各自安好吧 
3608,没有一种永远长久的完美，缺失也是完美，文章你方面劈腿姚迪的时候，就没把马伊琍当回事了，别说什么爱不爱的了，你爱的太多了，你是那种不适合结婚的人，所以也别娶了，说真的以前觉得你特别可爱，虽然不是很帅，但身上有光，但你的光没有了，甚至有些暗淡让人生厌。所以别当明星了，藏起来好好过吧 
3609,那么好的一个女人你没珍惜到。小三到底新鲜感足吧。为你感到可惜 
3610,回复@Zz张小佳Zz:说的对 
3611,纯爷们！隐忍好几年也是够了！ 
3612,好聚好散吧 
3613,特别难受，希望你们两都越来越好，永远快乐 
3614,你们还有孩子，你们依然是亲人 
3615,离了吗？痛吗？还是已经不痛了！？ 
3616,且行不了且珍惜不了 
3617,你是挺骚的 
3618,希望你好希望能多看到你的戏你的笑容，希望你幸福更要快乐 
3619,宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有父母！ 
3620,男人的嘴，骗人的鬼 
3621,喜欢你 也喜欢马伊琍. 感情的事情 有对有错，但不能勉强，希望你们都快乐，幸福～ 
3622,好聚好散，各自安好 
3623,演电视剧吧 
3624,见怪不怪了 
3625,难过，心疼 
3626,马司令仁至义尽了！删道歉几个意思了？姚小三上位？ 
3627,永远支持你！希望以后可以能看到你更多的作品！永远的向南！永远爱你！加油你可以的 
3628,回复@尐果果413:酷 
3629,每个人的感情都有一段说不出的无奈！我们不是当事人无法批判对与错！不是到不得已的地步我想也不会做这样的抉择！我想两个的内心都特别不想见到这样的局面…愿各自安好！ 
3630,回复@今天继续喜欢张国荣:我也觉得，好好爱自己，好好演戏 
3631,你这么如此特殊 
3632,加油 
3633,不要脸 
3634,哎！ 
3635,恭喜恭喜恭喜，你自由了。 
3636,遗憾 
3637,回复@你老公叫仙洋么:我们也一如既往支持你 
3638,曲终人散 最终会发现 还是原来的好 
3639,回复@你老公叫仙洋么:你在这类猫着呢，号召仙家军来点赞 
3640,有缘千里来相会，无缘对面也白费 
3641,那就别说爱了，谁也不要舍不得。 
3642,终究还是离了 
3643,回复@今天继续喜欢张国荣:他演技是真的好   我是先知道文章  才知道马伊琍的。虽然说马伊琍比文章出道早 
3644,回复@碰碰凉安阳师院店:猛🐂 
3645,回复@电動马达哟:可怜马伊利 
3646,希望你们彼此能够找到各自的幸福，加油 
3647,千 
3648,作为一名西安乡党，这个结果还令人是惋惜。毕竟在众人眼里你们曾是多么美好的神仙眷侣。自由了，还是陪伴孩子们度过这一段敏感期，包括她们的妈妈，慢慢地就好了…  天大地大，各自安好。 
3649,回复@单身20年的平胸柠檬精:他俩拿哪有爱情啊，想看爱情，去看看陈小春和应采儿 
3650,道一声珍重。 
3651,他两其实从那之后一直就是分居，已经没有了什么原谅不原谅 
3652,不知为什么 ，“吾爱伊琍”这四个字此时看起来怎么刺眼 
3653,曾经那么喜欢你，那件事后看不到你的作品，慢慢的你消失了，心疼优秀的你。 
3654,各自安好 
3655,可还记得剃刀边缘 
3656,马伊琍会找到属于自己的贺函的 
3657,是离是合，全凭一念之间；是窄是宽，没有标准答案。一别两宽 各生欢喜… 
3658, 
3659,要跟姚晨在一起了 
3660,回复@你老公叫仙洋么:仙@文章同學 @你老公叫仙洋么 我洋唯一的一个偶像 
3661,愿各自幸福不打扰 
3662,祝马伊琍幸福，她很伟大 
3663,好好演戏吧，祝好 
3664,往事清零，爱恨随意。 
3665,难过～ 
3666,我多希望那是你策划好的一个局，想要给马伊琍一个婚礼。 
3667,回复@吴啊博啊博:噗，笑了 
3668,希望你们余生都好，可惜了 
3669,孩子 孩子 孩子 
3670,哦 
3671,回复@小水舞啊:很般配！ 
3672,莫名的希望你们复婚！我就是一个平凡人，留言也看不到吧！ 
3673,缘分这事儿能不负对方就好，想不负此生真的很难！ 
3674,和好容易，如初难 
3675,婚姻真的不简单的。 
3676,以前你是我偶像 我特别喜欢你跟马司令！如爱伊琍， 就不要次次伤害  。。。依然亲情守候？是孩子吧 
3677,兰天琪和你一起去看了一个人的时候我就不想再去看了一个人的时候我就不想再去看了一个人的时候我就不想再去看了一个 
3678,这次你可以和姚迪在一起了，正大光明的那种 
3679,往事清零，爱很随意。 
3680,人在做，华为P30PRO在看。 
3681,回复@你老公叫仙洋么:小洋 
3682,这场破镜难重圆的戏码，华为手机或成最大赢家。 ¡评论配图 
3683,期待影视作品 
3684,回复@你老公叫仙洋么:捉@你老公叫仙洋么 仙家军 
3685,回复@你老公叫仙洋么:文章我偶像 也是洋哥偶像 只能说性格也差不多吧 
3686,心疼马伊琍！没有处理问题的能力，就别制造问题！ 
3687,回复@王滢善善:这种男的，连～～都比不上 
3688,小三上位了 
3689,听到这样的消息真的难过加遗憾，你两是我很喜欢的夫妇，为何如今这般？？？ 
3690,你个棒槌 
3691,。 
3692,回复@Vin咕噜噜的小鱼儿:嗯嗯，对，今天看完新闻特别惊讶。惋惜，只有当事人最知道心中的感受吧！祝各自安好吧。好希望今后复合 
3693,保时捷设计款哦~ 
3694,这么好的马伊琍姐姐你都不懂得珍惜 以后都不会再遇到这么好的人了 。 
3695,依然亲情守候，那么，她的青春呢 
3696,真心希望你俩都好，但是婚姻只是你俩的。多说徒劳，一切安好。非常喜欢你们俩。 
3697,朋友们不用找道歉的那条微博了，已经删了！本人一条一条翻下去找，没找到 
3698,我作为和你同样遭遇的男人，好像拍拍你的肩膀，对你说，一切都会过去的，重新开始好好生活，就算未来不一定美好，你也要为了你的2个孩子继续努力！ 
3699,回复@小水舞啊:您是真相了 
3700,有第一次就有第二次…… 
3701,哥 在西单见过您一次 您一直都是我的偶像，话不多说，幸福🙏🙏 
3702,这瓜够大够吃 
3703,你… 不评价… 
3704,文章你是想要儿子吗？再找一个结婚？ 
3705,心疼 
3706,回复@你老公叫仙洋么:小羊 
3707,此刻像极了陈俊生……可恨，可怜。但是我还是想说，你们俩我真的都非常喜欢，演技棒极了。俩人的感情也让人羡慕。走到这步，让很多喜欢你们的人心酸。但愿你们彼此之间没有恨，祝余生各自安好[米奇比心] 
3708,单身自由单身好 
3709,我喜欢周卫国! 
3710,住各自安好 
3711,希望你幸福@文章同學 
3712,回复@你老公叫仙洋么:顶 
3713,回不去了，裂缝难以修补如初 
3714,华为C位出道 
3715,回复@你老公叫仙洋么:顶 
3716,加油 
3717,大哥 我想看你的戏 
3718,惋惜你们，希望你们往后余生都好…… 
3719,加油，期待你的新作！大一就开始追你的剧，如今已10年了！ 
3720,宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
3721,就是感觉心里一惊，难受了好几个钟。希望你们好好的 
3722,感情家庭生活不做评论，毕竟除了当事人谁也不知道具体原因，谁也不是圣人，但就作为一个演员来说，演技是很不错的，我个人而言你的戏很喜欢看的，望能安好 
3723,终究还是离了…… 
3724,祝你幸福 
3725,至今还觉得你两个是情侣头像 
3726,做你自己，一直都是 
3727,在我的青葱岁月里，我只相信你们的爱情 
3728,回复@Tommi臻米:华为广告啊，买马桶买淘美易吧 
3729,永远支持文章，事情没有对与错，主要问心无愧就好。 
3730,🙃终究是你对不起马伊琍。 
3731,这是为什么呢?怎么可以! 
3732,唯一对不起的就是孩子 
3733,我又能说什么呢？安好！ 
3734,婚姻若能一辈子挺好，若不能相伴到老，又何必彼此折磨，所以，在恰到好处的时候终止，未尝不是一件好事。 
3735,回复@你老公叫仙洋么:一样 
3736,且行且珍惜吧. 
3737,华为广告啊 
3738,很喜欢你，曾经的知错能改是最难得的，永远支持你，加油 
3739,爱还做出对不起她的事？违心不？都白瞎马伊琍给你生俩孩子 
3740,爱她还劈腿 
3741,铺了草，种了花，仍抵不住地下埋的是一具白骨的事实。 
3742,大猪蹄子是罪魁祸首 
3743,为什么分的时候还在说我吾爱伊琍，不觉得讽刺吗？ 
3744,好聚好散 待你事业再创辉煌 坐等你归来 
3745,希望各自安好，希望几年后还能看到最好的你 
3746,回复@尐果果413:非常同意 
3747,懦弱的男人！ 
3748,没有什么能永垂不朽 
3749,回复@你老公叫仙洋么:一个文章一个仙洋都是我的偶像 
3750,回复@你老公叫仙洋么:你也是我唯一的一个偶像，长这么大没追过星，可偏偏稀罕你 
3751,李小璐和贾乃亮离了吗 
3752,喔喔喔祝马伊琍幸福吧 
3753,11 
3754,绝对是毁了一个家庭，再也挽回不了了，原配是永远什么都比不过的，亲身体会过！ 
3755,终于能够释然，期待你更多的作品。 
3756,清官难断家务事 
3757,此情可待成追忆，只是当时已惘然。。。 
3758,回复@四叶草lxs:哈哈哈哈 
3759,哎 
3760,终究是你对不起马伊琍。🙃 
3761,华为手机，承载了太多悲欢离合 O网页链接 
3762,还是有代沟？ 
3763,回复@你老公叫仙洋么:捞你一把 
3764,别把自己说的那么高尚，犯过错的人虽然值得原谅，但是可恶的是你知错后，不好好珍惜自己的家庭，你不为自己的孩子着想。 
3765,你演的向南跟我同名，那时起就喜欢你，知错就改善莫大焉，希望接下来的日子多出好作品，不辜负你演员的身份，毕竟演技在线，支持你小文子，加油💪 
3766,上高中的时候就一直喜欢@文章  直到现在QQ空间还一直保存着唯一的明星照片就是你 
3767,真心说一声 谢谢 
3768,从此，再也不相信娱乐圈的爱情，心疼马伊琍…… 
3769,回复@你老公叫仙洋么:这不是仙洋吗，哈哈 
3770,只想说，各自安好，不必在乎那些闲言碎语，这个世界就是这样，加油！过自己想要的生活！ 
3771,说日后再不负人，结果还是负了，男人这张嘴~ 
3772,剃刀边缘还有第二部么 
3773,天啊。。。。 
3774,回复@尐果果413:火 
3775,没有人会一直陪着一个人 
3776,回复@电動马达哟:哎！ 
3777,心情不好💢 
3778,回复@goodvibesonly0802:你真无聊 
3779,向南， 
3780,文章你是超级有灵气 有才气的男神，每个人都会犯错，关键在于如何外向前走。加油 男神 
3781,你会后悔的！但是后悔也别再纠缠马司令了 谢谢 
3782,加油 文章 
3783,各自安好，互不相扰。破镜难重圆！ 
3784, 
3785,只要劈腿过，不可能还像以前一样，年龄也是一个障碍，感谢你放过了马伊琍，因为你不配 
3786,回复@你老公叫仙洋么:哈哈 
3787,你们俩头像都是低头微笑 
3788,很好奇为什么用繁体字？ 
3789,回复@你老公叫仙洋么:上去 
3790,不管怎么样还是特别喜欢文章 一直在等着看你的新剧新电影儿呢哥~ 
3791,回复@黄老板诶:管你屁事 
3792,最终还是分离了 
3793,各自安好，互不相扰！ 
3794,有些人只能陪伴你一段缘分 
3795,加油加油💪，期待你更好的影视作品！ 
3796,一别两宽 
3797,回复@普通女孩yy:娱乐圈的人和咱们三观不一样，各玩各的都是很正常的 
3798,好聚好散 
3799,文章～～～～～～～这到底是为什么！ 
3800,回复@太子妃V5:果然钉了钉子，就是拔了还是有坑 
3801,我和金子，在你俩恋爱那年恋爱，你俩分手这年分手，同样在一起十一年，本来还说马伊琍还可以原谅文章，结果你俩成为我们的榜样，为何结局都是这样？ 
3802,私人生活外人也不好评论，愿你职业发展更上一层楼，出好作品 
3803,为什么还是分开了现在的婚姻太脆弱了 
3804,你说爱她，当初何必去伤害她 
3805,回复@你老公叫仙洋么:来抓小🐑 
3806,回复@童年碎片bo:赞同 
3807,悲哀 
3808,我爱你，我的祖国，唯有祖国不成辜负过！ 
3809,既然已经离了，就别说什么爱不爱了 
3810,有钱不折腾干啥。 
3811,还是分开了 
3812,感谢放手马伊琍！她值得拥有更好的！ 
3813,西安人表示舍不得丢掉马伊琍这么大气、温婉、美丽的西安媳妇   
3814,西安人表示舍不得丢掉马伊琍这么大气、温婉、美丽的西安媳妇 
3815,以两人的个性来看，离是必然且正确的 
3816,你们两个我都喜欢怎么办 
3817,回复@你老公叫仙洋么:顶 
3818,回复@蜜兔Momoko:我觉得你真相了 
3819,心疼新浪程序员，大周末的又要加班了吧？ 
3820,支持你！ 
3821,哎，感觉无奈之举 
3822,这对儿是我最惋惜的了，有种心疼和可惜。爱你们如故 
3823,还是希望你们在一起 
